College,Major,FresM,FresF,SophM,SophF,JuniM,JuniF,SeniM,SeniF,Non-Degree (M),Non-Degree (F),Total (Both),Semester
Liberal Arts and Sciences,Chemistry,19,15,18,14,21,18,28,20,0,0,153,f17
Liberal Arts and Sciences,Communication Studies,9,9,11,22,23,30,28,54,0,0,186,f17
Liberal Arts and Sciences,Computer Science,138,20,133,14,125,18,163,16,0,0,627,f17
Liberal Arts and Sciences,Criminal Justice Studies,31,27,49,34,62,33,24,13,0,0,273,f17
Liberal Arts and Sciences,Earth Science,0,0,0,0,1,1,3,1,0,0,6,f17
Liberal Arts and Sciences,Economics,9,0,11,7,21,2,29,8,0,0,87,f17
Liberal Arts and Sciences,English,10,22,11,49,23,58,33,70,0,0,276,f17
Liberal Arts and Sciences,Environmental Science (LAS),9,8,11,8,11,10,8,6,0,0,71,f17
Liberal Arts and Sciences,Genetics (LAS),5,12,1,11,5,17,7,25,0,0,83,f17
Liberal Arts and Sciences,Geology,0,2,5,2,12,4,14,12,0,0,51,f17
Liberal Arts and Sciences,History,15,12,26,24,49,21,66,31,0,0,244,f17
Liberal Arts and Sciences,Intensive English and Orientation Program LAS,0,0,0,0,0,0,0,0,36,19,55,f17
Liberal Arts and Sciences,Interdisciplinary Studies,1,1,2,2,16,10,47,28,0,0,107,f17
Liberal Arts and Sciences,Journalism and Mass Communication,17,32,32,41,29,57,43,45,0,0,296,f17
Liberal Arts and Sciences,Liberal Arts and Sciences- Open Option,0,0,1,0,0,0,0,0,0,0,1,f17
Liberal Arts and Sciences,Liberal Arts and Sciences Specials (Non-Degree),0,0,0,0,0,0,0,0,74,114,188,f17
Liberal Arts and Sciences,Liberal Studies,0,0,0,1,16,12,49,42,0,0,120,f17
Liberal Arts and Sciences,Linguistics,0,11,4,15,3,17,11,18,0,0,79,f17
Liberal Arts and Sciences,Mathematics,14,7,28,29,36,12,40,24,0,0,190,f17
Liberal Arts and Sciences,Meteorology,14,11,10,6,6,4,17,9,0,0,77,f17
Liberal Arts and Sciences,Music,13,16,14,15,12,7,24,25,0,0,126,f17
Liberal Arts and Sciences,Open Option (LAS),265,322,81,72,17,12,5,2,0,0,776,f17
Liberal Arts and Sciences,Performing Arts,2,5,5,3,1,6,2,12,0,0,36,f17
Liberal Arts and Sciences,Philosophy,2,0,5,2,5,0,11,1,0,0,26,f17
Liberal Arts and Sciences,Physics,25,7,21,5,17,2,23,5,0,0,105,f17
Liberal Arts and Sciences,Political Science,16,18,38,32,38,29,47,19,0,0,237,f17
Liberal Arts and Sciences,Pre-Biological/Pre-Medical Illustration,2,5,1,12,3,13,2,9,0,0,47,f17
Liberal Arts and Sciences,Pre-Computer Science,0,0,2,0,0,0,1,0,0,0,3,f17
Liberal Arts and Sciences,Pre-Liberal Studies,2,1,6,8,10,10,4,2,0,0,43,f17
Liberal Arts and Sciences,Preparation For Human Medicine,10,29,4,7,0,3,2,1,0,0,56,f17
Liberal Arts and Sciences,Preparation For Law,3,7,2,3,1,1,0,0,0,0,17,f17
Liberal Arts and Sciences,Preprofessional Health Programs,8,17,1,8,1,0,0,0,0,0,35,f17
Liberal Arts and Sciences,Psychology,26,82,38,119,52,142,49,172,0,0,680,f17
Liberal Arts and Sciences,Public Relations,2,15,12,40,18,60,20,66,0,0,233,f17
Liberal Arts and Sciences,Religious Studies,0,1,1,0,2,2,3,2,0,0,11,f17
Liberal Arts and Sciences,Sociology,3,7,1,13,9,9,8,13,0,0,63,f17
Liberal Arts and Sciences,Software Engineering,61,4,64,13,62,16,93,6,0,0,319,f17
Liberal Arts and Sciences,Speech Communication,0,0,2,7,3,6,5,4,0,0,27,f17
Liberal Arts and Sciences,Statistics,14,6,19,10,14,11,14,11,0,0,99,f17
Liberal Arts and Sciences,Technical Communication,0,0,1,3,5,1,4,5,0,0,19,f17
Liberal Arts and Sciences,Women's Studies,1,0,0,0,0,2,0,3,0,0,6,f17
Liberal Arts and Sciences,World Languages and Cultures,3,4,2,18,5,13,12,21,0,0,78,f17
Agriculture and Life Sciences,Agriculture Specials,0,0,0,0,0,0,0,0,44,44,88,s18
Agriculture and Life Sciences,Agriculture Certificate (Non-Degree),0,0,0,0,0,0,0,0,0,1,1,s18
Agriculture and Life Sciences,Agricultural and Life Sciences Education,3,13,6,26,6,61,14,48,0,0,177,s18
Agriculture and Life Sciences,Agricultural Biochemistry,2,3,2,1,5,5,3,3,0,0,24,s18
Agriculture and Life Sciences,Agricultural Business,40,16,68,39,91,45,121,62,0,0,482,s18
Agriculture and Life Sciences,Agricultural Studies,21,5,44,6,97,28,108,37,0,0,346,s18
Agriculture and Life Sciences,Agricultural Systems Technology,16,3,35,2,47,7,67,6,0,0,183,s18
Agriculture and Life Sciences,Agriculture and Life Sciences Exploration,1,4,2,3,1,1,0,0,0,0,12,s18
Agriculture and Life Sciences,Agriculture and Society,0,2,0,4,0,8,3,9,0,0,26,s18
Agriculture and Life Sciences,Agronomy,14,9,34,20,53,31,92,42,0,0,295,s18
Agriculture and Life Sciences,Animal Ecology,15,25,24,43,43,63,62,94,0,0,369,s18
Agriculture and Life Sciences,Animal Science,20,105,37,162,42,194,71,265,0,0,896,s18
Agriculture and Life Sciences,Biology (AGLS),17,18,19,35,19,57,33,93,0,0,291,s18
Agriculture and Life Sciences,Culinary Food Science - Agriculture,2,1,1,0,1,2,2,2,0,0,11,s18
Agriculture and Life Sciences,Dairy Science,2,1,6,7,5,4,2,7,0,0,34,s18
Agriculture and Life Sciences,Dietetics (AGLS),0,0,0,0,0,6,0,9,0,0,15,s18
Agriculture and Life Sciences,Environmental Science (AGLS),9,6,18,13,13,17,25,26,0,0,127,s18
Agriculture and Life Sciences,Food Science (AGLS),3,8,4,9,6,11,12,20,0,0,73,s18
Agriculture and Life Sciences,Forestry,4,3,15,6,23,6,24,6,0,0,87,s18
Agriculture and Life Sciences,General Preveterinary Medicine,3,3,0,2,0,0,0,0,0,0,8,s18
Agriculture and Life Sciences,Genetics (AGLS),1,4,7,12,4,11,8,18,0,0,65,s18
Agriculture and Life Sciences,Global Resource Systems,2,2,5,13,2,17,5,34,0,0,80,s18
Agriculture and Life Sciences,Horticulture,5,5,7,12,27,12,30,23,0,0,121,s18
Agriculture and Life Sciences,Industrial Technology,19,2,55,5,82,7,119,9,0,0,298,s18
Agriculture and Life Sciences,Microbiology,1,5,10,12,12,15,21,37,0,0,113,s18
Agriculture and Life Sciences,Nutritional Science (AGLS),0,0,0,1,1,1,1,3,0,0,7,s18
Agriculture and Life Sciences,Pre-Diet and Exercise (AGLS),0,2,1,0,0,0,0,0,0,0,3,s18
Agriculture and Life Sciences,Pre-Dietetics (AGLS),1,5,0,5,1,3,0,1,0,0,16,s18
Business,Business Specials (Non-Degree),0,0,0,0,0,0,0,0,4,7,11,s18
Business,Accounting,3,1,31,28,69,62,151,120,0,0,465,s18
Business,Business Economics,0,0,1,0,6,1,19,8,0,0,35,s18
Business,Business Undeclared,0,2,7,8,7,3,2,0,0,0,29,s18
Business,Entrepreneurship,0,0,3,1,6,2,6,5,0,0,23,s18
Business,Finance,9,2,71,10,143,42,248,66,0,0,591,s18
Business,International Business,0,0,0,0,0,0,0,1,0,0,1,s18
Business,Management,1,1,13,12,42,29,89,64,0,0,251,s18
Business,Management Information Systems,5,0,37,5,69,15,215,30,0,0,376,s18
Business,Marketing,4,2,38,35,110,121,155,153,0,0,618,s18
Business,Pre-Business,404,149,438,178,260,111,51,22,0,0,1613,s18
Business,Supply Chain Management,4,1,32,14,100,38,149,67,0,0,405,s18
Design,Design Specials (Non-Degree),0,0,0,0,0,0,0,0,1,8,9,s18
Design,Architecture-Professional Degree,0,0,16,19,43,29,118,83,0,0,308,s18
Design,Art and Design (Bachelor of Arts),0,4,0,4,1,5,2,12,0,0,28,s18
Design,Community and Regional Planning,2,4,11,7,10,9,18,16,0,0,77,s18
Design,Design,0,0,0,0,0,1,8,2,0,0,11,s18
Design,Design Undeclared,14,37,7,15,3,3,2,1,0,0,82,s18
Design,Graphic Design,0,0,12,25,19,47,29,94,0,0,226,s18
Design,Industrial Design,1,0,17,10,35,17,84,33,0,0,197,s18
Design,Integrated Studio Arts,0,0,2,10,4,14,16,24,0,0,70,s18
Design,Interdisciplinary Design,0,1,2,3,3,3,17,10,0,0,39,s18
Design,Interior Design,0,0,4,25,9,47,21,71,0,0,177,s18
Design,Landscape Architecture,0,0,7,10,14,11,29,41,0,0,112,s18
Design,Pre-Architecture,54,38,34,25,6,5,2,1,0,0,165,s18
Design,Pre-Community and Regional Planning,1,0,1,1,0,0,1,0,0,0,4,s18
Design,Pre-Graphic Design,17,34,6,22,6,6,1,1,0,0,93,s18
Design,Pre-Industrial Design,24,4,17,4,2,1,1,0,0,0,53,s18
Design,Pre-Integrated Studio Arts,4,4,0,8,0,1,0,0,0,0,17,s18
Design,Pre-Interior Design,7,35,1,19,0,4,1,0,0,0,67,s18
Design,Pre-Landscape Architecture,5,0,1,2,1,0,0,0,0,0,9,s18
Engineering,Engineering Specials (Non-Degree),0,0,0,0,0,0,0,0,29,9,38,s18
Engineering,Aerospace Engineering,145,19,172,27,161,19,249,28,0,0,820,s18
Engineering,Agricultural Engineering,19,5,34,4,48,8,69,18,0,0,205,s18
Engineering,Biological Systems Engineering,6,10,6,12,10,9,20,26,0,0,99,s18
Engineering,Chemical Engineering,52,27,92,38,119,44,221,90,0,0,683,s18
Engineering,Civil Engineering,67,14,96,29,141,36,230,64,0,0,677,s18
Engineering,Computer Engineering,126,9,140,15,176,14,226,21,0,0,727,s18
Engineering,Construction Engineering,32,7,65,7,63,8,113,22,0,0,317,s18
Engineering,Electrical Engineering,56,7,76,9,111,11,208,29,0,0,507,s18
Engineering,Engineering,30,10,36,8,5,2,0,0,0,0,91,s18
Engineering,Industrial Engineering,37,13,84,34,77,41,160,72,0,0,518,s18
Engineering,Materials Engineering,18,2,33,13,36,19,95,25,0,0,241,s18
Engineering,Mechanical Engineering,271,30,381,50,413,53,727,88,0,0,2013,s18
Engineering,Software Engineering,46,8,77,14,75,10,101,15,0,0,346,s18
Human Sciences,Human Sciences Special (Non-Degree),0,0,0,0,0,0,0,0,4,15,19,s18
Human Sciences,"Apparel, Merchandising, and Design",6,91,15,108,12,109,11,138,0,0,490,s18
Human Sciences,Athletic Training,0,0,1,3,3,11,12,14,0,0,44,s18
Human Sciences,Child & Family Services,1,23,4,42,6,110,10,139,0,0,335,s18
Human Sciences,Culinary Food Science - Human Sciences,2,1,6,6,3,5,3,14,0,0,40,s18
Human Sciences,Diet and Exercise (H SCI),0,0,0,0,0,0,1,2,0,0,3,s18
Human Sciences,Dietetics (H SCI),0,0,0,0,3,9,9,89,0,0,110,s18
Human Sciences,Early Childhood Education,0,15,2,18,0,26,3,36,0,0,100,s18
Human Sciences,Early Childcare Education and Programming,0,0,0,0,0,3,0,7,0,0,10,s18
Human Sciences,Elementary Education,9,84,22,132,21,159,43,298,0,0,768,s18
Human Sciences,Event Management,5,37,1,69,14,93,8,126,0,0,353,s18
Human Sciences,Family and Consumer Science Education and Studies,1,6,0,11,0,22,2,37,0,0,79,s18
Human Sciences,Financial Counseling and Planning,0,0,2,3,3,5,10,9,0,0,32,s18
Human Sciences,Food Science (H SCI),0,2,2,8,5,9,4,11,0,0,41,s18
Human Sciences,Hospitality Management,3,6,7,13,14,17,15,29,0,0,104,s18
Human Sciences,Human Sciences,1,5,1,8,0,1,0,1,0,0,17,s18
Human Sciences,Kinesiology and Health,48,64,92,135,138,151,186,232,0,0,1046,s18
Human Sciences,Nutritional Science (H SCI),0,3,1,11,4,19,7,38,0,0,83,s18
Human Sciences,Pre-Athletic Training,10,5,4,10,3,3,0,0,0,0,35,s18
Human Sciences,Pre-Diet and Exercise (H SCI),1,1,2,6,3,4,0,1,0,0,18,s18
Human Sciences,Pre-Dietetics (H SCI),0,21,2,35,4,16,1,6,0,0,85,s18
Liberal Arts and Sciences,Intensive English and Orientation Program LAS,0,0,0,0,0,0,0,0,20,11,31,s18
Liberal Arts and Sciences,Liberal Arts and Sciences Specials (Non-Degree),0,0,0,0,0,0,0,0,72,93,165,s18
Liberal Arts and Sciences,Advertising,4,6,15,20,21,36,31,43,0,0,176,s18
Liberal Arts and Sciences,Anthropology,2,5,3,10,6,19,8,16,0,0,69,s18
Liberal Arts and Sciences,Biochemistry,11,17,11,16,11,14,36,19,0,0,135,s18
Liberal Arts and Sciences,Bioinformatics and Computational Biology,1,0,3,3,2,0,2,3,0,0,14,s18
Liberal Arts and Sciences,Biological/Pre-Medical Illustration,0,0,0,1,2,5,3,26,0,0,37,s18
Liberal Arts and Sciences,Biology,21,46,39,50,50,64,63,81,0,0,414,s18
Liberal Arts and Sciences,Chemistry,13,12,18,12,24,20,28,20,0,0,147,s18
Liberal Arts and Sciences,Communication Studies,6,11,12,20,18,26,30,53,0,0,176,s18
Liberal Arts and Sciences,Computer Science,71,11,121,11,126,17,182,14,0,0,553,s18
Liberal Arts and Sciences,Criminal Justice Studies,18,24,46,43,60,37,46,22,0,0,296,s18
Liberal Arts and Sciences,Earth Science,0,0,1,0,1,1,3,2,0,0,8,s18
Liberal Arts and Sciences,Economics,5,0,9,5,25,4,28,8,0,0,84,s18
Liberal Arts and Sciences,English,6,13,9,46,20,48,32,80,0,0,254,s18
Liberal Arts and Sciences,Environmental Science (LAS),3,8,9,4,9,10,13,7,0,0,63,s18
Liberal Arts and Sciences,Genetics (LAS),5,7,4,12,5,12,6,30,0,0,81,s18
Liberal Arts and Sciences,Geology,2,2,1,1,10,4,16,9,0,0,45,s18
Liberal Arts and Sciences,History,10,8,21,11,43,26,64,29,0,0,212,s18
Liberal Arts and Sciences,Interdisciplinary Studies,0,1,2,0,4,3,34,19,0,0,63,s18
Liberal Arts and Sciences,Journalism and Mass Communication,11,14,21,29,35,48,45,55,0,0,258,s18
Liberal Arts and Sciences,Liberal Arts and Sciences- Open Option,0,0,0,0,1,0,0,0,0,0,1,s18
Liberal Arts and Sciences,Liberal Studies,1,0,0,1,8,7,40,38,0,0,95,s18
Liberal Arts and Sciences,Linguistics,4,8,5,15,1,18,12,18,0,0,81,s18
Liberal Arts and Sciences,Mathematics,12,1,28,13,34,15,45,28,0,0,176,s18
Liberal Arts and Sciences,Meteorology,6,7,7,7,8,2,20,10,0,0,67,s18
Liberal Arts and Sciences,Music,4,10,15,14,11,9,25,26,0,0,114,s18
Liberal Arts and Sciences,Open Option (LAS),110,129,62,62,10,10,3,2,0,0,388,s18
Liberal Arts and Sciences,Performing Arts,3,5,8,4,1,5,3,7,0,0,36,s18
Liberal Arts and Sciences,Philosophy,2,0,3,1,3,0,14,1,0,0,24,s18
Liberal Arts and Sciences,Physics,17,6,18,5,19,1,24,7,0,0,97,s18
Liberal Arts and Sciences,Political Science,10,11,33,30,39,32,51,25,0,0,231,s18
Liberal Arts and Sciences,Pre-Biological/Pre-Medical Illustration,1,4,0,9,0,7,3,5,0,0,29,s18
Liberal Arts and Sciences,Pre-Liberal Studies,0,0,3,4,8,11,3,1,0,0,30,s18
Liberal Arts and Sciences,Preparation For Human Medicine,2,4,1,1,1,1,2,2,0,0,14,s18
Liberal Arts and Sciences,Preparation For Law,3,1,0,3,1,2,0,1,0,0,11,s18
Liberal Arts and Sciences,Preprofessional Health Programs,1,7,0,1,1,2,1,0,0,0,13,s18
Liberal Arts and Sciences,Psychology,20,51,32,111,53,136,47,194,0,0,644,s18
Liberal Arts and Sciences,Public Relations,6,9,9,37,21,59,23,80,0,0,244,s18
Liberal Arts and Sciences,Religious Studies,0,1,2,0,1,2,2,2,0,0,10,s18
Liberal Arts and Sciences,Sociology,3,7,3,10,8,13,8,15,0,0,67,s18
Liberal Arts and Sciences,Software Engineering,26,3,61,7,69,13,90,14,0,0,283,s18
Liberal Arts and Sciences,Speech Communication,0,1,1,2,0,8,8,5,0,0,25,s18
Liberal Arts and Sciences,Statistics,13,5,14,12,16,8,20,14,0,0,102,s18
Liberal Arts and Sciences,Technical Communication,1,0,1,4,4,1,2,3,0,0,16,s18
Liberal Arts and Sciences,Women's Studies,1,0,0,2,0,2,0,2,0,0,7,s18
Liberal Arts and Sciences,World Languages and Cultures,1,3,3,10,3,14,10,22,0,0,66,s18
Agriculture and Life Sciences,Agricultural and Life Sciences Education,6,19,5,29,8,44,13,61,0,0,185,f18
Agriculture and Life Sciences,Agricultural Biochemistry,0,5,4,2,3,4,5,5,0,0,28,f18
Agriculture and Life Sciences,Agricultural Business,55,28,69,39,80,44,101,54,0,0,470,f18
Agriculture and Life Sciences,Agricultural Studies,37,9,47,8,89,30,86,25,0,0,331,f18
Agriculture and Life Sciences,Agricultural Systems Technology,19,0,40,4,42,0,58,12,0,0,175,f18
Agriculture and Life Sciences,Agriculture and Life Sciences Exploration,5,5,0,4,1,2,0,0,0,0,17,f18
Agriculture and Life Sciences,Agriculture and Society,0,2,0,7,0,4,2,9,0,0,24,f18
Agriculture and Life Sciences,Agriculture Certificate (Non-Degree),0,0,0,0,0,0,0,0,1,2,3,f18
Agriculture and Life Sciences,Agriculture Specials,0,0,0,0,0,0,0,0,39,58,97,f18
Agriculture and Life Sciences,Agronomy,18,23,21,26,53,26,77,30,0,0,274,f18
Agriculture and Life Sciences,Animal Ecology,32,48,30,50,37,68,68,81,0,0,414,f18
Agriculture and Life Sciences,Animal Science,50,211,36,157,40,187,57,230,0,0,968,f18
Agriculture and Life Sciences,Biology (AGLS),19,44,23,42,19,42,26,81,0,0,296,f18
Agriculture and Life Sciences,Culinary Food Science - Agriculture,1,4,1,2,1,1,2,2,0,0,14,f18
Agriculture and Life Sciences,Dairy Science,1,3,2,4,6,6,5,5,0,0,32,f18
Agriculture and Life Sciences,Dietetics (AGLS),0,0,0,0,0,3,0,9,0,0,12,f18
Agriculture and Life Sciences,Environmental Science (AGLS),6,14,13,11,20,11,19,27,0,0,121,f18
Agriculture and Life Sciences,Food Science (AGLS),5,3,3,12,5,12,12,15,0,0,67,f18
Agriculture and Life Sciences,Forestry,5,4,12,8,16,8,29,7,0,0,89,f18
Agriculture and Life Sciences,General Preveterinary Medicine,4,22,1,3,2,9,0,1,0,0,42,f18
Agriculture and Life Sciences,Genetics (AGLS),8,12,4,12,9,11,7,20,0,0,83,f18
Agriculture and Life Sciences,Global Resource Systems,5,8,5,11,3,17,6,27,0,0,82,f18
Agriculture and Life Sciences,Horticulture,11,4,14,12,22,18,34,19,0,0,134,f18
Agriculture and Life Sciences,Industrial Technology,15,1,62,5,73,5,113,11,0,0,285,f18
Agriculture and Life Sciences,Microbiology,12,11,8,17,8,20,20,30,0,0,126,f18
Agriculture and Life Sciences,Nutritional Science (AGLS),0,2,0,1,2,2,0,2,0,0,9,f18
Agriculture and Life Sciences,Pre-Diet and Exercise (AGLS),1,1,0,1,0,0,0,0,0,0,3,f18
Agriculture and Life Sciences,Pre-Dietetics (AGLS),0,4,1,6,0,3,2,0,0,0,16,f18
Business,Accounting,0,1,36,21,76,64,140,111,0,0,449,f18
Business,Business Economics,0,0,2,2,7,1,12,4,0,0,28,f18
Business,Business Specials (Non-Degree),0,0,0,0,0,0,0,0,8,10,18,f18
Business,Business Undeclared,1,0,12,9,7,5,0,0,0,0,34,f18
Business,Entrepreneurship,0,0,5,2,14,4,9,7,0,0,41,f18
Business,Finance,2,1,71,25,134,39,221,63,0,0,556,f18
Business,Management,0,1,8,12,44,23,87,68,0,0,243,f18
Business,Management Information Systems,3,1,34,7,96,12,195,34,0,0,382,f18
Business,Marketing,0,2,40,42,94,96,170,167,0,0,611,f18
Business,Pre-Business,574,232,472,163,271,122,44,27,0,0,1905,f18
Business,Supply Chain Management,1,0,27,10,83,28,139,57,0,0,345,f18
Design,Architecture-Professional Degree,1,1,32,32,39,35,106,77,0,0,323,f18
Design,Art and Design (Bachelor of Arts),0,1,0,6,0,5,2,7,0,0,21,f18
Design,Community and Regional Planning,3,1,9,8,15,5,12,18,0,0,71,f18
Design,Design,0,0,0,0,0,0,2,3,0,0,5,f18
Design,Design Specials (Non-Degree),0,0,0,0,0,0,0,0,4,4,8,f18
Design,Design Undeclared,15,39,7,6,3,3,0,0,0,0,73,f18
Design,Graphic Design,1,3,19,50,18,48,25,75,0,0,239,f18
Design,Industrial Design,4,1,19,18,40,18,69,31,0,0,200,f18
Design,Integrated Studio Arts,0,2,4,15,4,13,9,20,0,0,67,f18
Design,Interdisciplinary Design,0,2,3,4,2,3,11,7,0,0,32,f18
Design,Interior Design,1,3,7,45,7,48,15,60,0,0,186,f18
Design,Landscape Architecture,0,0,19,10,12,16,31,32,0,0,120,f18
Design,Pre-Architecture,81,42,19,12,5,5,0,0,0,0,164,f18
Design,Pre-Community and Regional Planning,4,0,2,0,2,0,1,0,0,0,9,f18
Design,Pre-Graphic Design,23,45,5,6,4,3,0,0,0,0,86,f18
Design,Pre-Industrial Design,26,7,7,1,1,0,0,0,0,0,42,f18
Design,Pre-Integrated Studio Arts,1,5,1,2,0,1,0,0,0,0,10,f18
Design,Pre-Interior Design,6,38,2,23,0,2,1,0,0,0,72,f18
Design,Pre-Landscape Architecture,4,6,0,2,2,0,0,0,0,0,14,f18
Engineering,Aerospace Engineering,254,33,211,23,173,24,245,24,0,0,987,f18
Engineering,Agricultural Engineering,48,2,42,8,40,6,74,14,0,0,234,f18
Engineering,Biological Systems Engineering,7,16,13,15,9,10,17,26,0,0,113,f18
Engineering,Chemical Engineering,78,36,82,44,115,49,214,79,0,0,697,f18
Engineering,Civil Engineering,106,21,104,34,116,34,227,66,0,0,708,f18
